YYYYMM,Long_ACCRUAL_ADJ,Short_ACCRUAL_ADJ,Spread_ACCRUAL_ADJ,Long_ASSET_GROWTH,Short_ASSET_GROWTH,Spread_ASSET_GROWTH,Long_COMPOSITE_ISSUE,Short_COMPOSITE_ISSUE,Spread_COMPOSITE_ISSUE,Long_DISTRESS,Short_DISTRESS,Spread_DISTRESS,Long_GP_ADJ,Short_GP_ADJ,Spread_GP_ADJ,Long_INVASSET,Short_INVASSET,Spread_INVASSET,Long_MOMENTUM,Short_MOMENTUM,Spread_MOMENTUM,Long_NOA,Short_NOA,Spread_NOA,Long_OSCORE,Short_OSCORE,Spread_OSCORE,Long_ROA,Short_ROA,Spread_ROA,Long_STOCK_ISSUE,Short_STOCK_ISSUE,Spread_STOCK_ISSUE
198111,0.02005,0.008587,0.011462991,0.026841,0.038309,-0.011468243,0.064388,0.028886,0.035502207,0.035841,0.032158,0.003683569,0.025851,0.052133,-0.026281242,0.026014,0.037985,-0.011970665,0.025052,0.051613,-0.026560724,0.045976,0.039088,0.006887595,0.043696,0.011096,0.03260047,0.032784,0.040673,-0.007889074,0.063529,0.034735,0.02879341
198112,-0.025524,-0.039623,0.014099228,0.003343,-0.048749,0.052092165,-0.031794,-0.043791,0.011996663,-0.01862,-0.045989,0.027369472,-0.002511,-0.040097,0.037585198,0.010732,-0.05282,0.063552112,-0.02527,-0.051529,0.026259828,-0.036822,-0.044598,0.00777599,-0.019274,-0.029246,0.009971639,-0.031708,-0.01694,-0.014767481,-0.036349,-0.046539,0.010189743
198201,-0.05174,-0.020843,-0.030896693,-0.007337,-0.060914,0.053576595,0.001327,-0.037684,0.039010829,0.025592,-0.043459,0.069051234,0.031338,-0.007792,0.039129473,0.003779,-0.070776,0.074554461,-0.036019,-0.051167,0.015148046,-0.024416,-0.060849,0.036433519,-0.0015,-0.044293,0.042793038,-0.029395,-0.022912,-0.006483067,-0.021443,-0.035424,0.013981077
198202,-0.068013,-0.080434,0.012421668,-0.036253,-0.10122,0.064967826,-0.013425,-0.072777,0.059351589,-0.023873,-0.094916,0.071043768,-0.024418,-0.007163,-0.017255031,-0.038611,-0.115981,0.0773704,-0.049411,-0.099155,0.049743557,-0.031813,-0.078273,0.046459629,-0.050769,-0.054773,0.004004172,-0.055348,-0.025041,-0.030307006,-0.037352,-0.050994,0.013641824
198203,0.00815,-0.038801,0.046951878,-0.017282,-0.039312,0.022030213,0.01032,-0.041399,0.051718335,-0.008255,-0.025442,0.017187416,-0.004286,0.001172,-0.005457441,-0.007336,-0.041174,0.033837462,-0.005308,-0.045705,0.040397169,-0.009808,-0.038123,0.028315483,-0.020183,-0.006873,-0.013310637,-0.032346,-0.012495,-0.01985077,-0.00007,-0.040088,0.040017759
198204,0.063368,0.066836,-0.003467858,0.050643,0.052553,-0.001910754,0.024978,0.048285,-0.023307106,0.047554,0.044754,0.002800645,0.065725,0.030533,0.035192166,0.04522,0.070114,-0.02489405,0.043174,0.052758,-0.009584244,0.035537,0.050238,-0.01470031,0.041196,0.056672,-0.015476479,0.060852,0.03638,0.024472043,0.042391,0.049808,-0.007416166
198205,-0.016717,-0.070726,0.054008958,-0.040934,-0.052739,0.011805003,0.006637,-0.052961,0.059598476,-0.023832,-0.031223,0.007391062,-0.028256,-0.055793,0.02753704,-0.029922,-0.039346,0.00942419,-0.021255,-0.063409,0.042154092,-0.066028,-0.041145,-0.024883173,-0.025995,-0.027079,0.001084102,-0.039883,-0.033498,-0.006384803,-0.012058,-0.049945,0.037886731
198206,-0.018312,-0.029235,0.010922404,-0.001761,-0.05769,0.055929154,-0.007805,-0.022316,0.014510819,-0.002586,-0.051044,0.048458165,0.01223,-0.028364,0.040594275,0.010508,-0.069346,0.079853565,0.010386,-0.085988,0.096373731,-0.01431,-0.052773,0.038463122,-0.02465,-0.022416,-0.002233989,-0.021222,-0.035914,0.014691984,-0.019706,-0.03175,0.012044138
198207,0.001055,-0.03702,0.038075147,-0.015871,-0.056091,0.04022,-0.033972,-0.042083,0.008111282,0.02096,-0.053131,0.074090954,0.006667,-0.033079,0.039746246,-0.006066,-0.052686,0.046620046,-0.015722,-0.057318,0.041595743,-0.026086,-0.049768,0.023682027,-0.000812,-0.029393,0.028581429,-0.018307,-0.032018,0.013711068,-0.03204,-0.039754,0.007713637
198208,0.10061,0.125798,-0.0251884,0.128916,0.116154,0.012761675,0.106798,0.132633,-0.025835258,0.10838,0.126529,-0.018148731,0.118761,0.108558,0.010203413,0.129059,0.139939,-0.010879694,0.097582,0.125048,-0.027465872,0.101514,0.121221,-0.019707223,0.114642,0.075685,0.038956692,0.105219,0.127823,-0.022603756,0.105422,0.1445,-0.039077841
198209,0.029073,-0.000071,0.029143812,0.021536,0.012733,0.008803823,0.017852,0.00485,0.013001686,0.016179,-0.005116,0.021294829,0.027116,0.058219,-0.031102295,0.018975,0.008649,0.010325895,0.046079,-0.031839,0.0779179,0.056741,0.011276,0.045464367,0.010966,0.017831,-0.006865046,0.022381,0.000197,0.022184258,0.030681,0.004218,0.026462568
198210,0.137731,0.178186,-0.040454796,0.163288,0.165565,-0.002277687,0.073562,0.149992,-0.076430305,0.101372,0.162823,-0.061451147,0.110304,0.154015,-0.043710641,0.142937,0.154992,-0.012054703,0.138524,0.14449,-0.005965929,0.166569,0.123328,0.043240365,0.11163,0.145196,-0.03356597,0.123767,0.168753,-0.044986612,0.109741,0.14234,-0.032599658
198211,0.07206,0.087039,-0.014978504,0.080239,0.08017,6.86528E-05,0.018541,0.075328,-0.056786941,0.086184,0.031941,0.05424232,0.083495,0.062663,0.020832336,0.057291,0.041779,0.015511171,0.099957,0.012503,0.087454378,0.055997,0.0466,0.009397343,0.076854,0.06084,0.016013471,0.092081,0.058329,0.033751833,0.049061,0.066389,-0.0173276
198212,0.051987,-0.024588,0.076575518,0.028112,-0.016847,0.044959187,0.032925,-0.001683,0.034608398,0.019733,0.01575,0.003982741,-0.002581,-0.027091,0.024509157,0.01622,0.011831,0.004388909,-0.001373,0.040199,-0.041572311,-0.022092,0.009309,-0.031401303,0.036979,0.022342,0.014636479,0.026618,0.034018,-0.00739998,0.020147,0.001804,0.018343432
198301,0.045802,0.062112,-0.016310425,0.093034,0.067709,0.0253241,0.032474,0.061136,-0.028662326,0.024754,0.067448,-0.04269301,0.01406,0.01378,0.000279821,0.07111,0.07522,-0.004109608,0.025244,0.054393,-0.029149098,0.03744,0.062121,-0.024680166,0.0301,0.079883,-0.049783521,0.027012,0.066931,-0.039919247,0.03927,0.052851,-0.013580838
198302,0.018052,0.031751,-0.013699062,0.026038,0.026735,-0.000696795,0.017714,0.038511,-0.020797217,0.035885,0.026825,0.009059628,0.046086,0.049323,-0.003237365,0.058024,0.014909,0.043115127,0.070425,-0.0139,0.084324512,0.048158,0.018337,0.029821849,0.026782,0.026325,0.00045675,0.041913,0.024178,0.017734772,0.046373,0.044128,0.002244531
198303,0.028173,0.036631,-0.008458373,0.065092,0.024263,0.040829044,0.057051,0.016615,0.040435777,0.008615,0.035921,-0.027305386,0.049075,0.07224,-0.023164674,0.042288,0.029281,0.013007244,0.048044,0.022463,0.025581112,0.063266,0.027233,0.036032264,0.017285,0.035188,-0.017902639,0.023078,0.030311,-0.007232558,0.041637,0.02191,0.019727241
198304,0.10446,0.058116,0.046343932,0.115668,0.078864,0.03680394,0.090803,0.063568,0.02723488,0.084928,0.08111,0.003818737,0.060002,0.096721,-0.036718633,0.090031,0.072977,0.017053995,0.107653,0.063663,0.043990234,0.099361,0.065787,0.03357395,0.067805,0.112355,-0.044549301,0.086736,0.100903,-0.01416697,0.068498,0.056551,0.011946826
198305,0.026817,0.034992,-0.008175479,0.049537,0.030355,0.019181507,0.006299,0.035147,-0.028847731,-0.011141,0.089773,-0.100914418,-0.007392,0.008799,-0.016190717,0.009308,0.045326,-0.036018462,0.047187,0.073982,-0.026794564,0.007585,0.033358,-0.025773408,-0.017698,0.088766,-0.106464761,-0.006372,0.064631,-0.071002854,0.006239,0.03113,-0.024891559
